Fecha,Precio,Producto,Grupo,Anio,Mes,diesel,gas_regular,gas_especial,precipitacion_mm,lluvia_max_mm,ipc_transporte,area_ha,produccion_t,rendimiento_kg_ha,mes,trimestre,semana_anio,mes_sin,mes_cos,semana_sin,semana_cos,precio_lag1,precio_lag2,precio_lag4,precio_lag8,media_movil_4,desv_movil_4,media_movil_8,desv_movil_8,media_movil_12,desv_movil_12,es_cosecha
2021-05-09,38.61538461538461,ARROZ ORO PRIMERA CLASE IMPORTADO,ARROZ,2021,5,2.9323809523809525,3.461904761904762,3.65,37.323,69.4,111.72,2836.0,19145.98,6751.2,5,2,18,0.49999999999999994,-0.8660254037844387,0.8229838658936565,-0.5680647467311557,,,,,,,,,,,0
2021-05-16,38.89808802308803,ARROZ ORO PRIMERA CLASE IMPORTADO,ARROZ,2021,5,2.94,3.4666666666666663,3.6566666666666667,16.133,85.2,111.72,2836.0,19145.98,6751.2,5,2,19,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795,38.61538461538461,,,,38.61538461538461,,38.61538461538461,,38.61538461538461,,0
2021-05-23,38.927532467532465,ARROZ ORO PRIMERA CLASE IMPORTADO,ARROZ,2021,5,3.0314285714285716,3.5180952380952375,3.710952380952381,20.783,73.0,111.72,2836.0,19145.98,6751.2,5,2,20,0.49999999999999994,-0.8660254037844387,0.6631226582407952,-0.7485107481711012,38.89808802308803,38.61538461538461,,,38.756736319236325,0.19990149665162793,38.756736319236325,0.19990149665162793,38.756736319236325,0.19990149665162793,0
2021-05-30,38.72878787878788,ARROZ ORO PRIMERA CLASE IMPORTADO,ARROZ,2021,5,3.046666666666667,3.526666666666666,3.72,46.988,108.4,111.72,2836.0,19145.98,6751.2,5,2,21,0.49999999999999994,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,38.927532467532465,38.89808802308803,,,38.81366836866837,0.17234871319327952,38.81366836866837,0.17234871319327952,38.81366836866837,0.17234871319327952,0
2021-06-06,38.940692640692646,ARROZ ORO PRIMERA CLASE IMPORTADO,ARROZ,2021,6,3.1066666666666665,3.5609523809523806,3.768571428571428,54.7,74.0,112.93,2836.0,19145.98,6751.2,6,2,22,1.2246467991473532e-16,-1.0,0.46472317204376906,-0.8854560256532096,38.72878787878788,38.927532467532465,38.61538461538461,,38.79244824619825,0.1469826305503742,38.79244824619825,0.1469826305503742,38.79244824619825,0.1469826305503742,0
2021-06-13,38.89968253968254,ARROZ ORO PRIMERA CLASE IMPORTADO,ARROZ,2021,6,3.1166666666666667,3.5666666666666664,3.776666666666666,87.374,116.2,112.93,2836.0,19145.98,6751.2,6,2,23,1.2246467991473532e-16,-1.0,0.35460488704253584,-0.9350162426854147,38.940692640692646,38.72878787878788,38.89808802308803,,38.873775252525256,0.09828567945903764,38.82209712509713,0.1435207314726095,38.82209712509713,0.1435207314726095,0
2021-06-20,38.83459595959596,ARROZ ORO PRIMERA CLASE IMPORTADO,ARROZ,2021,6,3.1595238095238094,3.5752380952380953,3.793809523809524,69.86,135.0,112.93,2836.0,19145.98,6751.2,6,2,24,1.2246467991473532e-16,-1.0,0.23931566428755768,-0.970941817426052,38.89968253968254,38.940692640692646,38.927532467532465,,38.87417388167388,0.09842029847342357,38.83502802752803,0.1322187948667329,38.83502802752803,0.1322187948667329,0
2021-06-27,38.753513153513154,ARROZ ORO PRIMERA CLASE IMPORTADO,ARROZ,2021,6,3.1666666666666665,3.5766666666666667,3.796666666666667,114.338,113.0,112.93,2836.0,19145.98,6751.2,6,2,25,1.2246467991473532e-16,-1.0,0.12053668025532308,-0.992708874098054,38.83459595959596,38.89968253968254,38.72878787878788,,38.850939754689755,0.09241147125603345,38.83496630353773,0.12069880460178349,38.83496630353773,0.12069880460178349,0
2021-07-04,38.78658008658008,ARROZ ORO PRIMERA CLASE IMPORTADO,ARROZ,2021,7,3.212380952380953,3.6538095238095236,3.848095238095238,46.013000000000005,107.2,113.5,2836.0,19145.98,6751.2,7,3,26,-0.4999999999999997,-0.8660254037844388,-3.216245299353273e-16,-1.0,38.753513153513154,38.83459595959596,38.940692640692646,38.61538461538461,38.857121073371076,0.08172650954459931,38.82478465978466,0.11539651968421623,38.82478465978466,0.11539651968421623,0
2021-07-11,38.770995670995674,ARROZ ORO PRIMERA CLASE IMPORTADO,ARROZ,2021,7,3.22,3.6666666666666665,3.856666666666667,26.548000000000002,104.4,113.5,2836.0,19145.98,6751.2,7,3,27,-0.4999999999999997,-0.8660254037844388,-0.12053668025532283,-0.992708874098054,38.78658008658008,38.753513153513154,38.89968253968254,38.89808802308803,38.81859293484293,0.06348706221512528,38.846184093684094,0.08208203382320813,38.82053970720637,0.10869217433814225,0
2021-07-18,38.76069264069264,ARROZ ORO PRIMERA CLASE IMPORTADO,ARROZ,2021,7,3.2257142857142855,3.7066666666666666,3.905238095238096,41.922,63.0,113.5,2836.0,19145.98,6751.2,7,3,28,-0.4999999999999997,-0.8660254037844388,-0.23931566428755743,-0.9709418174260521,38.770995670995674,38.78658008658008,38.83459595959596,38.927532467532465,38.78642121767122,0.034841159451228926,38.83029754967255,0.08289618697903188,38.81558530358531,0.10366669907312841,0
2021-07-25,38.73015873015873,ARROZ ORO PRIMERA CLASE IMPORTADO,ARROZ,2021,7,3.2266666666666666,3.7133333333333334,3.9133333333333336,22.721,112.8,113.5,2836.0,19145.98,6751.2,7,3,29,-0.4999999999999997,-0.8660254037844388,-0.3546048870425356,-0.9350162426854148,38.76069264069264,38.770995670995674,38.753513153513154,38.72878787878788,38.76794538794539,0.014346288176319203,38.809442571317575,0.07560538325034734,38.81059506150415,0.0997298035862907,0
2021-08-01,38.67099567099567,ARROZ ORO PRIMERA CLASE IMPORTADO,ARROZ,2021,8,3.212380952380953,3.741904761904762,3.9590476190476194,55.868,97.4,112.71,2836.0,19145.98,6751.2,8,3,30,-0.8660254037844385,-0.5000000000000004,-0.46472317204376806,-0.8854560256532101,38.73015873015873,38.76069264069264,38.78658008658008,38.940692640692646,38.762106782106784,0.02380919147961507,38.80961392773892,0.07539773677228478,38.80389203389203,0.09788266337530975,0
2021-08-08,38.62647907647907,ARROZ ORO PRIMERA CLASE IMPORTADO,ARROZ,2021,8,3.2100000000000004,3.7466666666666666,3.9666666666666663,92.913,82.8,112.71,2836.0,19145.98,6751.2,8,3,31,-0.8660254037844385,-0.5000000000000004,-0.5680647467311556,-0.8229838658936566,38.67099567099567,38.73015873015873,38.770995670995674,38.89968253968254,38.73321067821068,0.04495547964857454,38.775901806526804,0.06838448670427381,38.80852628852629,0.0890657848449184,0
2021-08-15,38.58196248196248,ARROZ ORO PRIMERA CLASE IMPORTADO,ARROZ,2021,8,3.224285714285714,3.7895238095238097,3.9952380952380957,45.388999999999996,110.2,112.71,2836.0,19145.98,6751.2,8,3,32,-0.8660254037844385,-0.5000000000000004,-0.663122658240795,-0.7485107481711013,38.62647907647907,38.67099567099567,38.76069264069264,38.83459595959596,38.697081529581524,0.060015700881976365,38.74175137362637,0.06591177216411609,38.785892209642206,0.09827240393358425,0
2021-08-22,38.664746364746364,ARROZ ORO PRIMERA CLASE IMPORTADO,ARROZ,2021,8,3.2266666666666666,3.796666666666667,4.0,109.962,147.8,112.71,2836.0,19145.98,6751.2,8,3,33,-0.8660254037844385,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952,38.58196248196248,38.62647907647907,38.73015873015873,38.753513153513154,38.652398989898984,0.06331286682043212,38.710172188922186,0.07497137117532994,38.75709471084471,0.103487346198877,0
